,Date,Stock Code,Open,Close,High,Low,Volume,Turnover,Amplitude,Change Percentage,Price Change,Turnover Rate
0,9/2/2024,000001,10.12,10.11,10.21,10.09,968836,983898751,1.18,-0.49,-0.05,0.5
1,9/3/2024,000001,10.11,10.08,10.13,10,916581,920884663.2,1.29,-0.3,-0.03,0.47
2,9/4/2024,000001,10.05,10.02,10.15,10,847992,852224669.9,1.49,-0.6,-0.06,0.44
3,9/5/2024,000001,10.03,10.07,10.08,9.98,594209,595845842.5,1,0.5,0.05,0.31
4,9/6/2024,000001,10.06,10.08,10.21,10.05,878865,891507833.6,1.59,0.1,0.01,0.45
5,9/9/2024,000001,10.05,9.85,10.07,9.84,1639175,1624857668,2.28,-2.28,-0.23,0.84
6,9/10/2024,000001,9.86,9.9,9.92,9.78,767901,756124763.9,1.42,0.51,0.05,0.4
7,9/11/2024,000001,9.88,9.65,9.88,9.63,1108727,1078602468,2.53,-2.53,-0.25,0.57
8,9/12/2024,000001,9.65,9.74,9.77,9.61,581834,564923215.6,1.66,0.93,0.09,0.3
9,9/13/2024,000001,9.73,9.7,9.82,9.7,566462,553269703.6,1.23,-0.41,-0.04,0.29
10,9/18/2024,000001,9.72,9.77,9.78,9.66,443611,431665627.3,1.24,0.72,0.07,0.23
11,9/19/2024,000001,9.79,9.81,9.84,9.68,684293,669341181.7,1.64,0.41,0.04,0.35
12,9/20/2024,000001,9.81,9.9,9.9,9.78,797297,785121198.9,1.22,0.92,0.09,0.41
13,9/23/2024,000001,9.89,10.04,10.09,9.87,896908,897428029.5,2.22,1.41,0.14,0.46
14,9/24/2024,000001,10.11,10.37,10.37,10.08,1638213,1678174482,2.89,3.29,0.33,0.84
15,9/25/2024,000001,10.52,10.5,10.7,10.45,2160694,2285995369,2.41,1.25,0.13,1.11
16,9/26/2024,000001,10.5,11.15,11.15,10.5,3086457,3341759456,6.19,6.19,0.65,1.59
17,9/27/2024,000001,11.35,11.42,11.56,11.03,3840016,4337985143,4.75,2.42,0.27,1.98
18,9/30/2024,000001,11.62,12.21,12.3,11.56,5430284,6467438838,6.48,6.92,0.79,2.8
19,10/8/2024,000001,13.43,12.88,13.43,12.34,5888978,7602664024,8.93,5.49,0.67,3.03
20,10/9/2024,000001,12.63,11.68,12.63,11.66,4269345,5172049702,7.53,-9.32,-1.2,2.2
21,9/2/2024,000002,6.51,6.42,6.63,6.42,2126409,1385023079,3.11,-5.03,-0.34,2.19
22,9/3/2024,000002,6.41,6.52,6.64,6.32,1581631,1028344274,4.98,1.56,0.1,1.63
23,9/4/2024,000002,6.48,6.46,6.76,6.43,1644098,1079490082,5.06,-0.92,-0.06,1.69
24,9/5/2024,000002,6.56,6.59,6.66,6.49,1353930,890031080.9,2.63,2.01,0.13,1.39
25,9/6/2024,000002,6.52,6.47,6.57,6.45,870394,565444151.4,1.82,-1.82,-0.12,0.9
26,9/9/2024,000002,6.41,6.37,6.45,6.31,706503,449986330.5,2.16,-1.55,-0.1,0.73
27,9/10/2024,000002,6.37,6.3,6.41,6.2,895241,561717015.2,3.3,-1.1,-0.07,0.92
28,9/11/2024,000002,6.25,6.31,6.38,6.24,604082,381296490.7,2.22,0.16,0.01,0.62
29,9/12/2024,000002,6.29,6.31,6.41,6.29,661412,419230414,1.9,0,0,0.68
30,9/13/2024,000002,6.31,6.32,6.4,6.3,822998,522226718.5,1.58,0.16,0.01,0.85
